Radical (variants),Stroke count,Meaning
一,1,one
丨,1,"line, stick"
丶,1,dot
丿,1,"bend, possessive particle no"
乙 (乚),1,"second, latter"
亅,1,"hook, hooked stick"
二,2,two
亠,2,pot lid
"人 (亻,𠆢)",2,human
儿,2,"legs, human underneath"
入 (𠆢),2,enter
八 (ハ),2,"eight, eight-head"
冂,2,"inverted box, window frame"
冖,2,"cover, wa crown"
冫,2,"ice, 2-stroke water"
几,2,desk
凵,2,"container, inbox"
"刀 (刂,⺈)",2,sword
力,2,"power, force"
勹,2,"embrace, wrap frame"
匕,2,spoon hi
匚,2,box frame
亡 (匸),3 (2),"dead, hiding frame"
十,2,"ten, complete"
"卜 (⼘,⺊)",2,divination to
卩 (㔾),2,seal
厂,2,cliff
厶,2,private
又,2,"again, right hand"
口,3,"mouth, opening"
囗,3,enclosure
土,3,earth
士,3,"scholar, bachelor"
夂,3,winter
夊,3,winter variant
夕,3,"evening, sunset"
大,3,"big, very"
女,3,"woman, female"
子,3,"child, seed"
宀,3,roof
寸,3,sun (unit of measurement)
"小 (⺌, ⺍)",3,"small, insignificant"
"尢 (尤,尣)",3,lame
尸,3,corpse
屮,3,sprout
山,3,mountain
"巛 (川,巜)",3,river
工,3,work
"已 (己,巳)",3,oneself
巾,3,"cloth, turban, scarf"
干,3,dry
幺,3,short thread
广,3,dotted cliff
廴,3,long stride
廾,3,"two hands, twenty"
弋,3,"ceremony, shoot, arrow"
弓,3,bow
彐 (彑),3,pig's head
彡,3,"hair, bristle, stubble, beard"
彳,3,step
"心 (忄,⺗)",4,heart
戈,4,"spear, halberd"
"戸 (戶,户)",4,"door, house"
"手 (扌,龵)",4,hand
支,4,branch
攵 (攴),4,"strike, whip"
文,4,"script, literature"
斗,4,"dipper, measuring scoop"
斤,4,axe
方,4,"way, square, raft"
无 (旡),4,have not
日,4,"sun, day"
曰,4,say
月 (⺝),4,"moon, month; body, flesh"
木,4,tree
欠,4,"yawn, lack"
止,4,stop
歹 (歺),4,"death, decay"
殳,4,"weapon, lance"
"毋 (母,⺟)",4,do not; mother
比,4,"compare, compete"
毛,4,"fur, hair"
氏,4,clan
气,4,"steam, breath"
"水 (氵,氺)",4,water
火 (灬),4,fire
"爪 (爫,⺥,⺤)",4,"claw, nail, talon"
父,4,father
爻,4,"mix, twine, cross"
爿 (丬),4,split wood
片,4,(a) slice
牙,4,fang
"牛 (牜, ⺧)",4,cow
犬 (犭),4,dog
玄,5,"dark, profound"
"王 (玉, 玊, ⺩)",4,"king; ball, jade"
瓜,5,melon
瓦,5,tile
甘,5,sweet
生,5,life
用 (甩),5,use; (throw)
田,5,field
疋 (⺪),5,bolt of cloth
疒,5,sickness
癶,5,footsteps
白,5,white
皮,5,skin
皿,5,dish
目,5,eye
矛,5,"spear, pike"
矢,5,arrow
石,5,stone
示 (礻),5,"altar, display"
禸,5,track
禾,5,two-branch tree
穴,5,cave
立,5,"stand, erect"
竹 (⺮),6,bamboo
米,6,rice
糸 (糹),6,"thread, string"
缶,6,"can, earthenware jar"
"罒 (网,罓,⺲,⺳)",5,net
"羊 (⺶,⺷)",6,sheep
羽,6,"feather, wing"
"耂 (老,⺹)",4,old
而,6,"rake, beard"
耒,6,plow
耳,6,ear
聿 (⺻),6,brush
"肉 (⺼,月)",6,meat
臣,7,"minister, official"
自,6,oneself
至,6,arrive
臼,6,mortar
舌,6,tongue
舛,7,opposite
舟,6,boat
艮,6,stopping
色,6,"colour, prettiness"
"艹 (艸,䒑)",3,"grass, vegetation"
虍,6,tiger stripes
虫,6,insect
血,6,blood
行,6,"go, do"
衣 (衤),6,clothes
"西 (襾,覀)",6,west
見,7,see
角,7,horn
言 (訁),7,speech
谷,7,valley
豆,7,bean
豕,7,pig
豸,7,"cat, badger"
貝,7,shell
赤,7,"red, bare"
走 (赱),7,run
足 (⻊),7,foot
身,7,body
車,7,"cart, car"
辛,7,"spicy, bitter"
辰,7,morning
"⻌ (辵,辶)",3,walk
"邑 (⻏, 阝)",3,town (阝 right)
酉,7,sake (rice-based alcoholic beverage)
釆,7,"divide, distinguish, choose"
里,7,"village, mile"
金 (釒),8,"metal, gold"
長 (镸),8,"long, grow; leader"
門,8,gate
"阜 (⻖, 阝)",3,"mound, dam (阝 left)"
隶,8,"slave, capture"
隹,8,old bird
雨 (⻗),8,rain
青 (靑),8,"green, blue"
非,8,wrong
面 (靣),9,face
革,9,"leather, rawhide"
韋,9,tanned leather
韭,9,leek
音,9,sound
頁,9,big shell
風 (𠘨),9,wind
飛,9,fly
"食 (飠, 𩙿)",9,"eat, food"
首,9,"neck, head"
香,9,fragrant
馬,10,horse
骨,10,bone
高 (髙),10,"tall, high"
髟,10,hair
鬥,10,fight
鬯,10,"herbs, sacrificial wine"
鬲,10,"tripod, cauldron"
鬼,10,"ghost, demon"
魚,11,fish
鳥,11,bird
鹵,11,salt
鹿,11,deer
麦 (麥),7,wheat
麻,11,"hemp, flax"
黄 (黃),11,yellow
黍,12,millet
黒 (黑),11,black
黹,12,"embroidery, needlework"
黽,13,"frog, amphibian"
鼎,13,sacrificial tripod
鼓,13,drum
鼠,13,"rat, mouse"
鼻,14,nose
齊,14,"even, uniformly"
歯 (齒),12,"tooth, molar"
竜 (龍),10,dragon
亀 (龜),11,"turtle, tortoise"
龠,17,flute
